,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekday,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Light_Load,Load_Type_Maximum_Load,Load_Type_Medium_Load
49,4.25,0.0,23.15,0.0,100.0,18.06,45000,True,False,False,True,False,False,False,False,False,True,False,False
50,3.67,0.0,16.67,0.0,100.0,21.5,45900,True,False,False,True,False,False,False,False,False,True,False,False
51,3.67,0.0,16.63,0.0,100.0,21.55,46800,True,False,False,True,False,False,False,False,False,True,False,False
52,4.25,0.0,23.33,0.0,100.0,17.92,47700,True,False,False,True,False,False,False,False,False,True,False,False
53,3.64,0.0,16.74,0.0,100.0,21.25,48600,True,False,False,True,False,False,False,False,False,True,False,False
54,3.67,0.0,16.99,0.0,100.0,21.11,49500,True,False,False,True,False,False,False,False,False,True,False,False
55,4.28,0.0,23.4,0.0,100.0,17.99,50400,True,False,False,True,False,False,False,False,False,True,False,False
56,3.64,0.0,16.67,0.0,100.0,21.33,51300,True,False,False,True,False,False,False,False,False,True,False,False
57,3.78,0.0,18.25,0.0,100.0,20.28,52200,True,False,False,True,False,False,False,False,False,True,False,False
58,4.1,0.0,22.1,0.0,100.0,18.24,53100,True,False,False,True,False,False,False,False,False,True,False,False
59,3.64,0.0,16.7,0.0,100.0,21.3,54000,True,False,False,True,False,False,False,False,False,True,False,False
60,3.92,0.0,19.33,0.0,100.0,19.87,54900,True,False,False,True,False,False,False,False,False,True,False,False
61,4.1,0.0,21.35,0.0,100.0,18.86,55800,True,False,False,True,False,False,False,False,False,True,False,False
62,3.6,0.0,16.81,0.0,100.0,20.94,56700,True,False,False,True,False,False,False,False,False,True,False,False
63,3.96,0.0,20.45,0.0,100.0,19.01,57600,True,False,False,True,False,False,False,False,False,True,False,False
64,4.0,0.0,20.77,0.0,100.0,18.91,58500,True,False,False,True,False,False,False,False,False,True,False,False
65,3.6,0.0,16.81,0.0,100.0,20.94,59400,True,False,False,True,False,False,False,False,False,True,False,False
66,4.07,0.0,21.64,0.0,100.0,18.48,60300,True,False,False,True,False,False,False,False,False,True,False,False
67,3.82,0.0,19.19,0.0,100.0,19.52,61200,True,False,False,True,False,False,False,False,False,True,False,False
68,3.56,0.0,16.96,0.0,100.0,20.54,62100,True,False,False,True,False,False,False,False,False,True,False,False
69,4.1,0.0,23.51,0.0,100.0,17.18,63000,True,False,False,True,False,False,False,False,False,True,False,False
70,3.6,0.0,17.39,0.0,100.0,20.27,63900,True,False,False,True,False,False,False,False,False,True,False,False
71,3.6,0.0,17.35,0.0,100.0,20.32,64800,True,False,False,True,False,False,False,False,False,True,False,False
72,4.0,0.0,8.96,0.0,100.0,40.77,65700,True,False,False,True,False,False,False,False,False,True,False,False
73,3.42,0.0,5.47,0.0,100.0,53.01,66600,True,False,False,True,False,False,False,False,False,True,False,False
74,3.67,0.0,16.24,0.0,100.0,22.04,67500,True,False,False,True,False,False,False,False,False,True,False,False
75,4.07,0.0,22.57,0.0,100.0,17.75,68400,True,False,False,True,False,False,False,False,False,True,False,False
76,3.53,0.0,17.39,0.0,100.0,19.89,69300,True,False,False,True,False,False,False,False,False,True,False,False
77,3.85,0.0,20.74,0.0,100.0,18.25,70200,True,False,False,True,False,False,False,False,False,True,False,False
78,3.96,0.0,20.88,0.0,100.0,18.63,71100,True,False,False,True,False,False,False,False,False,True,False,False
79,3.56,0.0,17.35,0.0,100.0,20.1,72000,True,False,False,True,False,False,False,False,False,True,False,False
80,4.03,0.0,22.54,0.0,100.0,17.6,72900,True,False,False,True,False,False,False,False,False,True,False,False
81,3.74,0.0,19.55,0.0,100.0,18.79,73800,True,False,False,True,False,False,False,False,False,True,False,False
82,3.56,0.0,17.42,0.0,100.0,20.02,74700,True,False,False,True,False,False,False,False,False,True,False,False
83,4.21,0.0,24.26,0.0,100.0,17.1,75600,True,False,False,True,False,False,False,False,False,True,False,False
84,3.56,0.0,17.75,0.0,100.0,19.66,76500,True,False,False,True,False,False,False,False,False,True,False,False
85,3.53,0.0,17.42,0.0,100.0,19.86,77400,True,False,False,True,False,False,False,False,False,True,False,False
86,4.25,0.0,25.2,0.0,100.0,16.63,78300,True,False,False,True,False,False,False,False,False,True,False,False
87,3.53,0.0,17.5,0.0,100.0,19.77,79200,True,False,False,True,False,False,False,False,False,True,False,False
88,3.56,1.44,10.08,0.0,92.7,33.3,80100,True,False,False,True,False,False,False,False,False,True,False,False
89,3.67,4.21,0.0,0.0,65.71,100.0,81000,True,False,False,True,False,False,False,False,False,True,False,False
90,3.24,3.35,0.0,0.0,69.52,100.0,81900,True,False,False,True,False,False,False,False,False,True,False,False
91,3.53,3.74,0.0,0.0,68.64,100.0,82800,True,False,False,True,False,False,False,False,False,True,False,False
92,3.53,3.42,0.0,0.0,71.82,100.0,83700,True,False,False,True,False,False,False,False,False,True,False,False
93,3.24,2.95,0.0,0.0,73.94,100.0,84600,True,False,False,True,False,False,False,False,False,True,False,False
94,3.67,3.96,0.0,0.0,67.97,100.0,85500,True,False,False,True,False,False,False,False,False,True,False,False
95,3.42,3.46,0.0,0.0,70.3,100.0,0,True,False,False,True,False,False,False,False,False,True,False,False
96,3.2,3.1,0.0,0.0,71.82,100.0,900,True,False,False,False,False,False,False,True,False,True,False,False
97,3.85,4.61,0.0,0.0,64.1,100.0,1800,True,False,False,False,False,False,False,True,False,True,False,False
98,3.28,3.67,0.0,0.0,66.64,100.0,2700,True,False,False,False,False,False,False,True,False,True,False,False
99,3.35,3.6,0.0,0.0,68.12,100.0,3600,True,False,False,False,False,False,False,True,False,True,False,False
100,3.89,4.72,0.0,0.0,63.6,100.0,4500,True,False,False,False,False,False,False,True,False,True,False,False
101,3.28,3.53,0.0,0.0,68.07,100.0,5400,True,False,False,False,False,False,False,True,False,True,False,False
102,3.46,3.96,0.0,0.0,65.8,100.0,6300,True,False,False,False,False,False,False,True,False,True,False,False
103,3.78,4.82,0.0,0.0,61.71,100.0,7200,True,False,False,False,False,False,False,True,False,True,False,False
104,3.31,3.53,0.0,0.0,68.4,100.0,8100,True,False,False,False,False,False,False,True,False,True,False,False
105,3.6,4.36,0.0,0.0,63.67,100.0,9000,True,False,False,False,False,False,False,True,False,True,False,False
106,3.64,4.39,0.0,0.0,63.83,100.0,9900,True,False,False,False,False,False,False,True,False,True,False,False
107,3.28,3.71,0.0,0.0,66.24,100.0,10800,True,False,False,False,False,False,False,True,False,True,False,False
108,3.71,4.57,0.0,0.0,63.03,100.0,11700,True,False,False,False,False,False,False,True,False,True,False,False
109,3.56,4.03,0.0,0.0,66.21,100.0,12600,True,False,False,False,False,False,False,True,False,True,False,False
110,3.24,3.49,0.0,0.0,68.04,100.0,13500,True,False,False,False,False,False,False,True,False,True,False,False
111,3.89,4.64,0.0,0.0,64.25,100.0,14400,True,False,False,False,False,False,False,True,False,True,False,False
112,3.28,3.42,0.0,0.0,69.22,100.0,15300,True,False,False,False,False,False,False,True,False,True,False,False
113,3.28,3.49,0.0,0.0,68.48,100.0,16200,True,False,False,False,False,False,False,True,False,True,False,False
114,3.96,4.68,0.0,0.0,64.59,100.0,17100,True,False,False,False,False,False,False,True,False,True,False,False
115,3.24,3.42,0.0,0.0,68.77,100.0,18000,True,False,False,False,False,False,False,True,False,True,False,False
116,3.46,3.78,0.0,0.0,67.52,100.0,18900,True,False,False,False,False,False,False,True,False,True,False,False
117,3.67,4.07,0.0,0.0,66.97,100.0,19800,True,False,False,False,False,False,False,True,False,True,False,False
118,3.24,3.42,0.0,0.0,68.77,100.0,20700,True,False,False,False,False,False,False,True,False,True,False,False
119,3.67,3.96,0.0,0.0,67.97,100.0,21600,True,False,False,False,False,False,False,True,False,True,False,False
120,3.53,3.78,0.0,0.0,68.25,100.0,22500,True,False,False,False,False,False,False,True,False,True,False,False
121,3.2,3.24,0.0,0.0,70.27,100.0,23400,True,False,False,False,False,False,False,True,False,True,False,False
122,3.78,4.07,0.0,0.0,68.05,100.0,24300,True,False,False,False,False,False,False,True,False,True,False,False
123,3.35,3.35,0.0,0.0,70.71,100.0,25200,True,False,False,False,False,False,False,True,False,True,False,False
124,3.53,3.49,0.0,0.0,71.11,100.0,26100,True,False,False,False,False,False,False,True,False,True,False,False
125,6.3,4.57,0.0,0.0,80.95,100.0,27000,True,False,False,False,False,False,False,True,False,True,False,False
126,6.05,4.79,0.0,0.0,78.4,100.0,27900,True,False,False,False,False,False,False,True,False,True,False,False
127,6.73,4.54,0.0,0.0,82.9,100.0,28800,True,False,False,False,False,False,False,True,False,True,False,False
128,29.02,18.83,0.07,0.0,83.89,100.0,29700,True,False,False,False,False,False,False,True,False,True,False,False
129,46.19,28.66,0.0,0.0,84.97,100.0,30600,True,False,False,False,False,False,False,True,False,True,False,False
130,52.06,35.32,0.0,0.0,82.75,100.0,31500,True,False,False,False,False,False,False,True,False,True,False,False
131,56.2,12.53,0.11,0.0,97.6,100.0,32400,True,False,False,False,False,False,False,True,False,True,False,False
132,56.84,8.32,0.0,0.0,98.95,100.0,33300,True,False,False,False,False,False,False,True,False,False,False,True
133,51.26,4.54,0.94,0.0,99.61,99.98,34200,True,False,False,False,False,False,False,True,False,False,False,True
134,48.13,2.34,1.15,0.0,99.88,99.97,35100,True,False,False,False,False,False,False,True,False,False,False,True
135,52.81,7.06,0.54,0.0,99.12,99.99,36000,True,False,False,False,False,False,False,True,False,False,False,True
136,54.79,7.52,0.14,0.0,99.07,100.0,36900,True,False,False,False,False,False,False,True,False,False,True,False
137,53.21,8.35,0.11,0.0,98.79,100.0,37800,True,False,False,False,False,False,False,True,False,False,True,False
138,80.21,32.4,0.0,0.0,92.72,100.0,38700,True,False,False,False,False,False,False,True,False,False,True,False
139,77.58,25.49,0.0,0.0,95.0,100.0,39600,True,False,False,False,False,False,False,True,False,False,True,False
140,128.52,70.85,0.0,0.0,87.57,100.0,40500,True,False,False,False,False,False,False,True,False,False,True,False
141,144.47,78.48,0.0,0.0,87.87,100.0,41400,True,False,False,False,False,False,False,True,False,False,True,False
142,90.86,54.29,0.0,0.0,85.84,100.0,42300,True,False,False,False,False,False,False,True,False,False,True,False
143,123.3,66.06,0.0,0.0,88.15,100.0,43200,True,False,False,False,False,False,False,True,False,False,True,False
144,19.22,5.54,18.9,0.0,96.09,71.3,44100,True,False,False,False,False,False,False,True,False,False,False,True
145,8.46,0.0,25.92,0.0,100.0,31.03,45000,True,False,False,False,False,False,False,True,False,False,False,True
146,8.24,0.0,25.34,0.0,100.0,30.92,45900,True,False,False,False,False,False,False,True,False,False,False,True
147,8.03,0.0,25.49,0.0,100.0,30.05,46800,True,False,False,False,False,False,False,True,False,False,False,True
148,79.67,27.29,6.52,0.0,94.6,99.67,47700,True,False,False,False,False,False,False,True,False,False,False,True
149,97.85,46.8,0.0,0.0,90.21,100.0,48600,True,False,False,False,False,False,False,True,False,False,False,True
150,124.45,49.79,0.0,0.0,92.85,100.0,49500,True,False,False,False,False,False,False,True,False,False,False,True
151,108.61,43.34,0.0,0.0,92.88,100.0,50400,True,False,False,False,False,False,False,True,False,False,False,True
152,123.12,55.26,0.0,0.0,91.23,100.0,51300,True,False,False,False,False,False,False,True,False,False,False,True
153,129.1,53.5,0.0,0.0,92.38,100.0,52200,True,False,False,False,False,False,False,True,False,False,False,True
154,82.08,27.58,0.0,0.0,94.79,100.0,53100,True,False,False,False,False,False,False,True,False,False,False,True
155,143.89,60.91,0.0,0.0,92.09,100.0,54000,True,False,False,False,False,False,False,True,False,False,False,True
156,86.9,34.27,0.0,0.0,93.03,100.0,54900,True,False,False,False,False,False,False,True,False,False,False,True
157,141.44,62.57,0.0,0.0,91.45,100.0,55800,True,False,False,False,False,False,False,True,False,False,False,True
158,116.53,52.88,0.0,0.0,91.06,100.0,56700,True,False,False,False,False,False,False,True,False,False,False,True
159,129.31,61.16,0.0,0.0,90.4,100.0,57600,True,False,False,False,False,False,False,True,False,False,False,True
160,136.44,56.77,0.0,0.0,92.33,100.0,58500,True,False,False,False,False,False,False,True,False,False,False,True
161,85.72,34.85,0.0,0.0,92.64,100.0,59400,True,False,False,False,False,False,False,True,False,False,False,True
162,147.46,65.27,0.0,0.0,91.44,100.0,60300,True,False,False,False,False,False,False,True,False,False,False,True
163,86.94,30.78,0.0,0.0,94.27,100.0,61200,True,False,False,False,False,False,False,True,False,False,False,True
164,67.25,25.81,0.0,0.0,93.36,100.0,62100,True,False,False,False,False,False,False,True,False,False,True,False
165,115.78,50.04,0.0,0.0,91.79,100.0,63000,True,False,False,False,False,False,False,True,False,False,True,False
166,113.11,34.63,0.0,0.0,95.62,100.0,63900,True,False,False,False,False,False,False,True,False,False,True,False
167,76.75,11.74,1.04,0.0,98.85,99.99,64800,True,False,False,False,False,False,False,True,False,False,True,False
168,41.9,15.23,0.14,0.0,93.98,100.0,65700,True,False,False,False,False,False,False,True,False,False,True,False
169,37.4,19.94,0.0,0.0,88.24,100.0,66600,True,False,False,False,False,False,False,True,False,False,True,False
170,40.25,8.82,0.5,0.0,97.68,99.99,67500,True,False,False,False,False,False,False,True,False,False,True,False
171,34.92,1.98,1.58,0.0,99.84,99.9,68400,True,False,False,False,False,False,False,True,False,False,True,False
172,41.36,6.44,0.43,0.0,98.81,99.99,69300,True,False,False,False,False,False,False,True,False,False,True,False
173,35.96,2.52,1.37,0.0,99.76,99.93,70200,True,False,False,False,False,False,False,True,False,False,True,False
174,39.42,5.29,0.47,0.0,99.11,99.99,71100,True,False,False,False,False,False,False,True,False,False,True,False
175,38.16,4.68,0.5,0.0,99.26,99.99,72000,True,False,False,False,False,False,False,True,False,False,True,False
176,33.23,1.51,3.96,0.0,99.9,99.3,72900,True,False,False,False,False,False,False,True,False,False,False,True
177,25.88,0.0,12.13,0.0,100.0,90.55,73800,True,False,False,False,False,False,False,True,False,False,False,True
178,10.84,0.0,23.22,0.0,100.0,42.3,74700,True,False,False,False,False,False,False,True,False,False,False,True
179,9.29,0.0,23.51,0.0,100.0,36.75,75600,True,False,False,False,False,False,False,True,False,False,False,True
180,6.98,0.0,25.16,0.0,100.0,26.73,76500,True,False,False,False,False,False,False,True,False,False,False,True
181,5.11,0.0,26.5,0.0,100.0,18.93,77400,True,False,False,False,False,False,False,True,False,False,False,True
182,5.08,0.0,26.42,0.0,100.0,18.88,78300,True,False,False,False,False,False,False,True,False,False,False,True
183,5.04,0.0,26.46,0.0,100.0,18.71,79200,True,False,False,False,False,False,False,True,False,False,False,True
184,4.93,1.84,15.44,0.0,93.69,30.42,80100,True,False,False,False,False,False,False,True,False,False,True,False
185,4.64,5.22,0.0,0.0,66.44,100.0,81000,True,False,False,False,False,False,False,True,False,False,True,False
186,4.68,5.18,0.0,0.0,67.04,100.0,81900,True,False,False,False,False,False,False,True,False,False,True,False
187,4.68,5.11,0.0,0.0,67.54,100.0,82800,True,False,False,False,False,False,False,True,False,False,True,False
188,4.57,4.54,0.0,0.0,70.94,100.0,83700,True,False,False,False,False,False,False,True,False,True,False,False
189,4.57,4.25,0.0,0.0,73.23,100.0,84600,True,False,False,False,False,False,False,True,False,True,False,False
190,4.54,4.25,0.0,0.0,73.0,100.0,85500,True,False,False,False,False,False,False,True,False,True,False,False
191,4.61,4.21,0.0,0.0,73.84,100.0,0,True,False,False,False,False,False,False,True,False,True,False,False
192,4.61,4.61,0.0,0.0,70.71,100.0,900,True,False,False,False,False,False,False,False,True,True,False,False
193,4.61,4.54,0.0,0.0,71.25,100.0,1800,True,False,False,False,False,False,False,False,True,True,False,False
194,4.57,4.5,0.0,0.0,71.25,100.0,2700,True,False,False,False,False,False,False,False,True,True,False,False
195,4.57,4.61,0.0,0.0,70.4,100.0,3600,True,False,False,False,False,False,False,False,True,True,False,False
196,4.64,4.46,0.0,0.0,72.1,100.0,4500,True,False,False,False,False,False,False,False,True,True,False,False
197,4.64,4.57,0.0,0.0,71.25,100.0,5400,True,False,False,False,False,False,False,False,True,True,False,False
198,4.61,4.79,0.0,0.0,69.34,100.0,6300,True,False,False,False,False,False,False,False,True,True,False,False
199,4.57,4.5,0.0,0.0,71.25,100.0,7200,True,False,False,False,False,False,False,False,True,True,False,False
200,4.61,4.39,0.0,0.0,72.42,100.0,8100,True,False,False,False,False,False,False,False,True,True,False,False
201,4.64,4.75,0.0,0.0,69.88,100.0,9000,True,False,False,False,False,False,False,False,True,True,False,False
202,4.64,4.75,0.0,0.0,69.88,100.0,9900,True,False,False,False,False,False,False,False,True,True,False,False
203,4.57,4.75,0.0,0.0,69.33,100.0,10800,True,False,False,False,False,False,False,False,True,True,False,False
204,4.64,5.11,0.0,0.0,67.22,100.0,11700,True,False,False,False,False,False,False,False,True,True,False,False
205,4.64,4.72,0.0,0.0,70.1,100.0,12600,True,False,False,False,False,False,False,False,True,True,False,False
206,4.68,4.68,0.0,0.0,70.71,100.0,13500,True,False,False,False,False,False,False,False,True,True,False,False
207,4.57,4.46,0.0,0.0,71.57,100.0,14400,True,False,False,False,False,False,False,False,True,True,False,False
208,4.54,4.32,0.0,0.0,72.44,100.0,15300,True,False,False,False,False,False,False,False,True,True,False,False
209,4.61,4.46,0.0,0.0,71.87,100.0,16200,True,False,False,False,False,False,False,False,True,True,False,False
210,4.57,4.32,0.0,0.0,72.67,100.0,17100,True,False,False,False,False,False,False,False,True,True,False,False
211,4.61,4.32,0.0,0.0,72.97,100.0,18000,True,False,False,False,False,False,False,False,True,True,False,False
212,4.54,4.14,0.0,0.0,73.89,100.0,18900,True,False,False,False,False,False,False,False,True,True,False,False
213,4.57,4.21,0.0,0.0,73.55,100.0,19800,True,False,False,False,False,False,False,False,True,True,False,False
214,4.57,4.43,0.0,0.0,71.8,100.0,20700,True,False,False,False,False,False,False,False,True,True,False,False
215,4.57,4.5,0.0,0.0,71.25,100.0,21600,True,False,False,False,False,False,False,False,True,True,False,False
216,4.64,4.61,0.0,0.0,70.94,100.0,22500,True,False,False,False,False,False,False,False,True,True,False,False
217,4.57,4.36,0.0,0.0,72.35,100.0,23400,True,False,False,False,False,False,False,False,True,True,False,False
218,4.61,4.54,0.0,0.0,71.25,100.0,24300,True,False,False,False,False,False,False,False,True,True,False,False
219,4.54,4.28,0.0,0.0,72.76,100.0,25200,True,False,False,False,False,False,False,False,True,True,False,False
220,4.46,4.18,0.0,0.0,72.96,100.0,26100,True,False,False,False,False,False,False,False,True,True,False,False
221,6.12,4.25,0.0,0.0,82.14,100.0,27000,True,False,False,False,False,False,False,False,True,True,False,False
222,7.92,4.68,0.0,0.0,86.09,100.0,27900,True,False,False,False,False,False,False,False,True,True,False,False
223,9.58,4.36,0.0,0.0,91.02,100.0,28800,True,False,False,False,False,False,False,False,True,True,False,False
224,37.01,21.56,0.0,0.02,86.41,100.0,29700,True,False,False,False,False,False,False,False,True,True,False,False
225,74.59,35.86,0.0,0.03,90.13,100.0,30600,True,False,False,False,False,False,False,False,True,True,False,False
226,109.48,53.32,0.0,0.05,89.9,100.0,31500,True,False,False,False,False,False,False,False,True,True,False,False
227,105.08,31.82,0.0,0.05,95.71,100.0,32400,True,False,False,False,False,False,False,False,True,True,False,False
228,121.79,41.26,0.0,0.06,94.71,100.0,33300,True,False,False,False,False,False,False,False,True,False,False,True
229,114.48,30.24,0.0,0.05,96.68,100.0,34200,True,False,False,False,False,False,False,False,True,False,False,True
230,74.2,21.96,0.0,0.03,95.89,100.0,35100,True,False,False,False,False,False,False,False,True,False,False,True
231,54.32,7.13,0.04,0.02,99.15,100.0,36000,True,False,False,False,False,False,False,False,True,False,False,True
232,75.17,25.06,0.0,0.03,94.87,100.0,36900,True,False,False,False,False,False,False,False,True,False,True,False
233,58.07,12.24,0.0,0.03,97.85,100.0,37800,True,False,False,False,False,False,False,False,True,False,True,False
234,67.03,15.08,0.0,0.03,97.56,100.0,38700,True,False,False,False,False,False,False,False,True,False,True,False
235,74.59,31.64,0.04,0.03,92.06,100.0,39600,True,False,False,False,False,False,False,False,True,False,True,False
236,57.56,23.9,0.0,0.03,92.36,100.0,40500,True,False,False,False,False,False,False,False,True,False,True,False
237,78.62,48.06,0.0,0.04,85.32,100.0,41400,True,False,False,False,False,False,False,False,True,False,True,False
238,69.16,44.17,0.0,0.03,84.28,100.0,42300,True,False,False,False,False,False,False,False,True,False,True,False
239,74.05,44.78,0.0,0.03,85.57,100.0,43200,True,False,False,False,False,False,False,False,True,False,True,False
240,11.27,0.5,20.45,0.01,99.9,48.27,44100,True,False,False,False,False,False,False,False,True,False,False,True
241,8.21,0.0,26.21,0.0,100.0,29.89,45000,True,False,False,False,False,False,False,False,True,False,False,True
242,8.14,0.0,25.56,0.0,100.0,30.34,45900,True,False,False,False,False,False,False,False,True,False,False,True
243,7.7,0.0,25.74,0.0,100.0,28.66,46800,True,False,False,False,False,False,False,False,True,False,False,True
244,51.26,21.38,6.08,0.02,92.29,99.3,47700,True,False,False,False,False,False,False,False,True,False,False,True
245,52.7,13.64,0.0,0.02,96.81,100.0,48600,True,False,False,False,False,False,False,False,True,False,False,True
246,55.84,17.24,0.0,0.03,95.55,100.0,49500,True,False,False,False,False,False,False,False,True,False,False,True
247,57.2,17.32,0.0,0.03,95.71,100.0,50400,True,False,False,False,False,False,False,False,True,False,False,True
248,76.57,30.6,0.0,0.04,92.86,100.0,51300,True,False,False,False,False,False,False,False,True,False,False,True
249,61.13,20.45,0.0,0.03,94.83,100.0,52200,True,False,False,False,False,False,False,False,True,False,False,True
250,66.74,26.42,0.0,0.03,92.98,100.0,53100,True,False,False,False,False,False,False,False,True,False,False,True
251,55.8,16.42,0.0,0.03,95.93,100.0,54000,True,False,False,False,False,False,False,False,True,False,False,True
252,57.46,18.25,0.0,0.03,95.31,100.0,54900,True,False,False,False,False,False,False,False,True,False,False,True
253,71.28,28.08,0.0,0.03,93.04,100.0,55800,True,False,False,False,False,False,False,False,True,False,False,True
254,73.15,28.62,0.0,0.03,93.13,100.0,56700,True,False,False,False,False,False,False,False,True,False,False,True
